date,state,district,T2M,RH2M,WS2M,PRECTOTCORR,fire_lag_1d,fire_lag_3d,fire_lag_7d,fire_mean_3d,fire_mean_7d,season_sin,season_cos,state,district,elevated_next_day,next_day_fire_count
2023-10-08,Haryana,Ambala,24.65,68.55,1.31,0.0,10.0,12.0,2.0,10.0,11.0,0.733885366432199,0.6792733388972931,Haryana,Ambala,1,8.0
2023-10-09,Haryana,Ambala,25.11,69.82,1.0,0.0,22.0,8.0,17.0,13.333333333333334,13.857142857142858,0.7998392447397193,0.6002142805483682,Haryana,Ambala,0,1.0
2023-10-10,Haryana,Ambala,24.64,68.07,1.35,5.61,8.0,10.0,12.0,13.333333333333334,12.571428571428571,0.8573146280763323,0.5147928015098308,Haryana,Ambala,1,3.0
2023-10-11,Haryana,Ambala,22.85,70.94,1.78,0.0,1.0,22.0,16.0,10.333333333333334,11.0,0.9057022630804714,0.42391439070986076,Haryana,Ambala,1,13.0
2023-10-12,Haryana,Ambala,22.92,67.62,1.33,0.0,3.0,8.0,12.0,4.0,9.142857142857142,0.9444892287836613,0.32854238191083485,Haryana,Ambala,1,13.0
2023-10-13,Haryana,Ambala,22.71,68.92,1.25,0.0,13.0,1.0,8.0,5.666666666666667,9.285714285714286,0.9732643737003825,0.22968774213179552,Haryana,Ambala,1,13.0
2023-10-14,Haryana,Ambala,23.93,64.4,1.56,1.5,13.0,3.0,10.0,9.666666666666666,10.0,0.9917226741361015,0.12839835514655099,Haryana,Ambala,1,23.0
2023-10-15,Haryana,Ambala,23.74,63.93,1.13,0.19,13.0,13.0,22.0,13.0,10.428571428571429,0.999668467514313,0.025747913654988658,Haryana,Ambala,0,0.0
2023-10-16,Haryana,Ambala,21.16,78.39,1.26,18.94,23.0,13.0,8.0,16.333333333333332,10.571428571428571,0.9970175264485267,-0.07717546212664618,Haryana,Ambala,0,0.0
2023-10-17,Haryana,Ambala,20.31,78.22,1.23,3.51,0.0,13.0,1.0,12.0,9.428571428571429,0.9837979515735163,-0.17928075881073566,Haryana,Ambala,0,1.0
2023-10-18,Haryana,Ambala,19.58,73.45,1.96,0.44,0.0,23.0,3.0,7.666666666666667,9.285714285714286,0.9601498736716018,-0.2794856348516094,Haryana,Ambala,1,3.0
2023-10-19,Haryana,Ambala,19.67,70.75,1.65,0.0,1.0,0.0,13.0,0.3333333333333333,9.0,0.926323968251495,-0.376727893635185,Haryana,Ambala,1,7.0
